Date_Dimension_Key,Customer_Dimension_Key,Product_Dimension_Key,SalesTerritory_Dimension_Key,SalesPerson_Dimension_Key,OrderQty,Sales (USD)
178,4260,46,1,14,1,772.5
178,6051,82,9,13,1,2511.59
178,710,34,9,13,1,2368.9
178,14952,46,9,13,1,490.7
179,17307,84,1,14,1,3953.99
179,17313,84,4,8,1,3953.99
179,6049,80,9,13,1,2511.59
179,730,35,9,13,1,2368.9
179,3286,84,10,16,1,6418.81
180,11429,84,6,9,1,2669.45
180,18095,34,7,17,1,571.95
180,9504,34,6,9,1,2517.8
180,16322,57,6,9,1,521.54
180,711,36,9,13,1,2369.2
181,17343,82,4,8,1,3953.99
181,17375,80,1,14,1,3953.99
181,7659,52,7,17,1,118.18
181,3108,83,8,15,1,2028.73
181,6332,81,9,13,1,2510.79
182,19657,478,3,4,2,37106.29
182,19322,37,6,9,1,15425.13
182,19590,322,5,6,3,9661.14
182,19250,177,6,9,3,702.55
182,19241,322,6,9,1,692
182,19419,40,1,14,1,20571.96
182,19520,323,1,14,1,23130.3
182,19594,180,6,9,3,7762.08
182,19211,270,2,2,1,7638.86
182,19557,35,6,9,1,1542.51
182,19515,40,6,9,1,20075.53
182,19690,65,6,9,2,1332.73
182,19648,180,6,9,2,8377.03
182,19382,478,6,9,2,1551.1
182,19776,325,6,9,1,5473.49
182,19663,177,2,2,1,15423
182,19567,322,4,8,1,4404.11
182,19475,180,1,14,1,12381.08
182,19451,325,5,6,6,26346.89
182,19647,478,5,6,4,34922.36
182,19466,108,4,8,1,1935.42
182,19758,166,4,8,2,43335.72
182,19819,322,4,8,5,14860.64
182,19273,478,1,14,2,4589.87
182,19284,478,1,14,2,36806.49
182,19744,84,6,9,1,1635.42
182,19809,165,1,14,2,55408.16
182,19377,322,2,2,3,4859.87
182,19778,322,3,4,2,10580.08
182,19802,325,4,8,4,13042.63
182,19405,325,4,8,1,46465.95
182,19271,53,3,4,1,472.31
182,19326,478,5,6,2,137343.29
182,19793,177,2,2,2,8036.88
182,19627,478,1,14,5,23223.54
182,19366,39,2,2,1,4594.07
182,19212,325,6,9,1,16546.55
182,19491,180,6,9,1,11793.49
182,19813,478,3,4,21,43706.82
182,19260,37,6,9,1,1542.51
182,19426,180,2,2,1,20634.65
182,19563,478,3,4,4,130416.48
182,19459,478,4,8,8,76.18
182,19400,325,6,9,1,13221.02
182,19195,49,5,6,1,472.31
182,19496,178,6,9,2,10996.6
182,19532,325,6,9,2,1585.97
182,19217,478,6,9,4,57290.62
182,19509,478,6,9,4,24808.82
182,19418,322,4,8,3,18627.7
182,19607,48,6,9,1,319.52
182,19706,478,1,14,8,36585.9
182,19444,325,1,14,4,36556.88
182,19568,322,4,8,4,4891.99
182,19224,478,4,8,10,57683.23
182,19407,325,6,9,2,38825.21
182,19608,325,3,4,2,13449.16
182,19582,478,5,6,8,38990.63
182,19603,478,4,8,5,25575
182,19209,478,5,6,6,59486.42
182,19670,270,5,6,1,22.31
182,19797,180,4,8,1,12796.6
182,19548,177,5,6,2,11128.38
182,19225,478,4,8,26,37121.63
182,19493,325,2,2,3,16508.01
182,19433,322,2,2,2,2884.84
182,19489,478,1,14,2,28723.55
182,19665,181,5,6,1,21862.89
182,19319,322,1,14,2,22224.23
182,19555,325,4,8,3,14730.65
182,19476,478,4,8,5,41347.11
182,19223,478,1,14,4,9179.75
182,19390,37,3,4,2,4560.29
182,19213,325,3,4,2,44423.6
182,19587,322,1,14,6,24047.86
182,11743,82,6,9,1,2674.87
182,1826,83,7,17,1,611.47
182,17768,82,4,8,1,3953.99
182,6445,82,9,13,1,2534.45
182,3248,84,8,15,1,2050.82
183,17720,81,4,8,1,3953.99
183,1834,84,7,17,1,615.81
183,6363,83,9,13,1,2540.47
184,757,37,9,13,1,2396.15
184,6364,83,9,13,1,2540.47
184,6442,82,9,13,1,2540.47
184,14972,56,9,13,1,496.34
185,17740,81,4,8,1,3953.99
185,3250,82,8,15,1,2038.14
185,6443,83,9,13,1,2540.47
185,733,41,9,13,1,2413.9
185,736,40,9,13,1,2413.9
186,9750,50,10,16,1,1240.97
186,17767,80,4,8,1,3953.99
186,6749,81,9,13,1,2538.02
186,6388,84,9,13,1,2538.02
186,6361,81,9,13,1,2538.02
186,14996,51,9,13,1,495.86
187,3302,83,10,16,1,6365.08
187,6753,84,9,13,1,2542.59
187,4267,46,4,8,1,772.5
187,756,38,9,13,1,2415.91
187,6377,84,9,13,1,2542.59
187,6389,82,9,13,1,2542.59
187,6414,84,9,13,1,2542.59
187,749,39,9,13,1,2415.91
188,17428,84,4,8,1,3953.99
188,17716,80,4,8,1,3953.99
188,6398,80,9,13,1,2548.33
188,6341,81,9,13,1,2548.33
189,9751,48,10,16,1,1243.77
189,3304,80,10,16,1,6366.11
189,3363,83,10,16,1,6366.11
189,732,38,9,13,1,2419.49
190,17770,82,4,8,1,3953.99
190,6360,81,9,13,1,2542.59
190,737,34,9,13,1,2398.15
190,748,35,9,13,1,2398.15
191,17733,80,4,8,1,3953.99
191,17778,81,4,8,1,3953.99
191,6387,83,9,13,1,2542.92
191,6447,81,9,13,1,2542.92
191,740,37,9,13,1,2398.46
191,741,41,9,13,1,2416.23
192,17742,82,1,14,1,3953.99
192,17769,82,4,8,1,3953.99
192,17773,84,4,8,1,3953.99
192,6386,80,9,13,1,2544.72
192,6359,83,9,13,1,2544.72
193,11641,83,6,9,1,2700.81
193,17741,81,4,8,1,3953.99
193,3389,81,10,16,1,6385.64
193,3242,81,8,15,1,2047.53
193,17765,84,4,8,1,3953.99
193,6405,81,9,13,1,2546.36
194,17732,84,1,14,1,3953.99
194,4278,56,1,14,1,772.5
194,750,37,9,13,1,2401.7
194,6366,83,9,13,1,2546.36
194,14973,48,9,13,1,497.49
195,17719,83,1,14,1,3953.99
195,3247,80,8,15,1,2035.31
195,3217,82,8,15,1,2035.31
195,17772,84,4,8,1,3953.99
196,17744,84,4,8,1,3953.99
196,946,38,10,16,1,6073.37
196,17785,81,4,8,1,3953.99
196,15574,38,1,14,1,3756.99
196,6362,84,9,13,1,2573.04
196,6340,80,9,13,1,2573.04
198,6631,83,9,13,1,2594.99
199,17383,83,4,8,1,3953.99
199,11515,81,6,9,1,2734.43
199,17622,84,4,8,1,3953.99
199,17724,84,4,8,1,3953.99
199,735,34,9,13,1,2444.52
199,17749,80,1,14,1,3953.99
200,17620,80,4,8,1,3953.99
200,17746,82,4,8,1,3953.99
200,4274,51,4,8,1,772.5
200,9027,48,8,15,1,397.11
200,17763,84,4,8,1,3953.99
200,16331,50,6,9,1,534.2
200,6446,84,9,13,1,2594.48
200,15257,55,9,13,1,506.89
201,17380,81,1,14,1,3953.99
201,17461,83,1,14,1,3953.99
201,3382,84,10,16,1,6472.4
201,3216,84,8,15,1,2073.3
201,754,35,9,13,1,2453.37
201,6630,81,9,13,1,2601.14
202,17619,82,4,8,1,3953.99
202,3395,80,10,16,1,6467.11
202,949,36,10,16,1,6099.71
202,17780,84,1,14,1,3953.99
202,15578,36,1,14,1,3729.36
202,6403,84,9,13,1,2589.21
202,6633,80,9,13,1,2589.21
202,734,34,9,13,1,2442.12
203,11710,82,6,9,1,2728.02
203,9532,35,6,9,1,2573.04
203,6365,83,9,13,1,2602.68
203,6410,83,9,13,1,2602.68
203,6747,84,9,13,1,2602.68
204,11623,84,6,9,1,2708.58
204,6750,81,9,13,1,2584.98
204,752,36,9,13,1,2438.13
205,1833,80,7,17,1,620.23
205,3391,82,10,16,1,6476.64
205,945,38,10,16,1,6153.95
205,6395,83,9,13,1,2589.21
205,6404,82,9,13,1,2589.21
205,6409,81,9,13,1,2589.21
205,6748,84,9,13,1,2589.21
205,14974,53,9,13,1,505.86
205,15570,38,4,8,1,3756.99
206,7673,48,7,17,1,121.25
206,759,37,9,13,1,2442.12
206,6444,82,9,13,1,2589.21
207,3380,82,10,16,1,6483.01
207,3381,80,10,16,1,6483.01
207,3392,83,10,16,1,6483.01
207,18096,38,7,17,1,589.37
207,17766,82,1,14,1,3953.99
207,15580,38,4,8,1,3756.99
207,6415,83,9,13,1,2589.55
208,3240,83,8,15,1,2072.54
208,6752,84,9,13,1,2594.82
209,3393,84,10,16,1,6515.06
209,6339,83,9,13,1,2600.28
210,9031,46,8,15,1,407.05
210,3244,83,8,15,1,2083.46
210,3245,84,8,15,1,2083.46
210,3261,83,8,15,1,2083.46
210,4279,46,1,14,1,772.5
210,758,36,9,13,1,2455.63
210,6390,82,9,13,1,2603.53
210,14975,48,9,13,1,508.66
211,17621,84,1,14,1,3953.99
211,17743,84,1,14,1,3953.99
211,942,38,10,16,1,6184.34
211,11752,84,6,9,1,2725.38
211,17764,84,4,8,1,3953.99
211,15569,38,4,8,1,3756.99
211,6751,84,9,13,1,2636.34
212,3243,82,8,15,1,2050.29
212,18097,35,7,17,1,576.6
212,9531,35,6,9,1,2571.98
212,6393,82,9,13,1,2633.36
212,6358,80,9,13,1,2633.36
212,746,37,9,13,1,2483.76
213,19294,108,2,2,1,950.4
213,19334,478,1,14,2,29779.14
213,19705,39,3,4,1,4594.07
213,19416,322,6,9,1,4739.98
213,19324,166,1,14,1,31591.95
213,19669,325,3,4,2,28945.19
213,19435,478,4,8,2,12.7
213,19652,478,6,9,2,29156.65
213,19505,39,6,9,1,1584.16
213,19671,322,6,9,2,1057.33
213,19196,39,6,9,2,6313.35
213,19341,325,6,9,2,16030.79
213,19424,478,6,9,10,57304.56
213,19646,181,4,8,2,5641.19
213,19544,54,4,8,1,472.31
213,19375,56,4,8,1,2361.55
213,19361,325,4,8,3,7487.86
213,19616,325,4,8,2,5055.91
213,19792,173,4,8,2,4592.02
213,19410,325,4,8,4,12021.96
213,19413,38,6,9,2,3168.32
213,19450,166,4,8,1,47689
213,19357,38,3,4,2,9154.35
213,19353,322,3,4,1,6796.03
213,19206,478,5,6,22,18431.46
213,19599,325,4,8,1,14074.02
213,19392,478,1,14,6,91512.85
213,19423,177,5,6,1,11030.05
213,19383,322,5,6,3,3955.64
213,19279,322,6,9,1,2961.7
213,19457,40,6,9,1,3168.32
213,19471,477,3,4,2,6870.02
213,19770,53,5,6,1,472.31
213,19808,325,4,8,2,18226.91
213,19388,65,4,8,2,2442.35
213,19623,322,1,14,2,15582.1
213,19188,325,3,4,2,18768.21
213,19442,325,6,9,2,9040.35
213,19351,41,6,9,1,25195.15
213,19640,478,4,8,2,45621.25
213,19448,181,2,2,1,37706.61
213,19227,325,4,8,2,75293.72
213,19387,478,5,6,2,22915.47
213,19283,180,2,2,1,14537.29
213,19585,65,3,4,2,3859.28
213,19536,478,4,8,6,55277.86
213,19404,325,4,8,2,30375.69
213,19412,478,1,14,6,72894.32
213,19220,38,5,6,1,4577.18
213,19200,67,2,2,1,985.02
213,19339,325,4,8,1,17387.4
213,19574,108,3,4,3,2931.99
213,19512,478,1,14,2,16060.3
213,19264,478,4,8,5,102525.99
213,19790,322,5,6,4,20874.64
213,19668,325,2,2,4,62725.34
213,19344,478,5,6,6,39881.97
213,19189,478,2,2,6,23095.35
213,19186,37,5,6,2,4560.29
213,19417,270,5,6,1,28927.05
213,3523,84,10,16,1,6464.99
213,17858,84,4,8,1,3953.99
213,11816,80,6,9,1,2726.89
213,7030,83,9,13,1,2629.33
214,3467,84,10,16,1,6464.99
214,3494,80,10,16,1,6464.99
214,1923,80,7,17,1,611.2
214,3274,82,8,15,1,2049.87
214,11760,82,6,9,1,2726.51
214,17847,82,4,8,1,3953.99
214,6773,81,9,13,1,2631.61
214,7011,84,9,13,1,2631.61
214,7012,82,9,13,1,2631.61
214,7022,84,9,13,1,2631.61
215,17874,84,4,8,1,3953.99
215,6944,81,9,13,1,2628.81
215,7017,81,9,13,1,2628.81
215,15260,53,9,13,1,513.6
216,1036,40,10,16,1,6149.92
216,17870,81,4,8,1,3953.99
216,17883,80,1,14,1,3953.99
216,17833,82,4,8,1,3953.99
216,15589,40,1,14,1,3756.99
216,6757,83,9,13,1,2633.01
217,3269,80,8,15,1,2046.47
217,17884,80,4,8,1,3953.99
217,17888,81,1,14,1,3953.99
218,3474,83,10,16,1,6539.84
218,17887,80,4,8,1,3953.99
218,17895,83,4,8,1,3953.99
218,17790,84,4,8,1,3953.99
218,6767,82,9,13,1,2631.26
218,4283,46,1,14,1,772.5
218,7010,83,9,13,1,2631.26
219,1913,82,7,17,1,608.16
219,17881,80,1,14,1,3953.99
219,17885,83,4,8,1,3953.99
219,17814,82,4,8,1,3953.99
219,4286,46,4,8,1,772.5
220,3486,81,10,16,1,6519.35
220,6931,80,9,13,1,2622.7
220,6948,82,9,13,1,2622.7
221,1922,83,7,17,1,608.16
221,1039,36,10,16,1,6148.99
221,17799,81,4,8,1,3953.99
221,15590,36,1,14,1,3729.36
221,760,41,9,13,1,2492.03
221,6996,81,9,13,1,2622.7
221,7001,84,9,13,1,2622.7
222,17860,84,4,8,1,3953.99
222,6949,83,9,13,1,2586
222,6982,84,9,13,1,2586
224,15591,41,4,8,1,3756.99
224,6771,82,9,13,1,2576.22
225,9754,50,10,16,1,1265.98
225,9756,56,10,16,1,1265.98
225,763,34,9,13,1,2440.2
225,6950,84,9,13,1,2587.18
226,3272,81,8,15,1,1973.84
226,17866,81,4,8,1,3953.99
226,6766,84,9,13,1,2508.88
226,6951,82,9,13,1,2508.88
226,6997,83,9,13,1,2508.88
227,17798,81,4,8,1,3953.99
227,17852,84,4,8,1,3953.99
227,6961,82,9,13,1,2508.88
227,7014,80,9,13,1,2508.88
228,1956,82,7,17,1,588.93
228,17861,80,4,8,1,3953.99
228,17851,81,4,8,1,3953.99
228,4282,51,4,8,1,772.5
228,6987,81,9,13,1,2518.78
229,952,41,10,16,1,6068.47
229,17864,82,4,8,1,3953.99
229,15581,41,4,8,1,3756.99
229,6959,80,9,13,1,2516.54
230,3485,84,10,16,1,6386.67
230,17856,82,4,8,1,3953.99
230,17872,81,4,8,1,3953.99
230,7053,84,9,13,1,2497.15
230,7034,80,9,13,1,2497.15
231,17882,81,1,14,1,3953.99
231,3262,83,8,15,1,1973.05
231,17850,84,1,14,1,3953.99
231,11811,80,6,9,1,2746.02
231,4292,46,4,8,1,772.5
231,762,39,9,13,1,2394.51
231,6957,83,9,13,1,2520.07
231,6960,80,9,13,1,2520.07
232,3549,84,10,16,1,6316.28
232,17868,83,4,8,1,3953.99
233,9762,56,10,16,1,1229.32
233,1957,82,7,17,1,592.16
233,18103,35,7,17,1,558.52
233,1035,38,10,16,1,5978.66
233,15588,38,1,14,1,3756.99
233,6943,81,9,13,1,2516.22
233,7675,50,7,17,1,115.69
233,7036,81,9,13,1,2516.22
234,3543,84,10,16,1,6292.15
234,17886,81,4,8,1,3953.99
234,11819,82,6,9,1,2742.02
234,17893,81,1,14,1,3953.99
234,6758,84,9,13,1,2516.86
234,6781,80,9,13,1,2516.86
235,1919,80,7,17,1,593.05
235,3282,80,8,15,1,1989.03
235,17857,82,4,8,1,3953.99
235,17865,82,1,14,1,3953.99
235,6980,81,9,13,1,2521.19
235,7031,81,9,13,1,2521.19
235,15258,54,9,13,1,492.57
236,1921,81,7,17,1,590.75
236,6935,84,9,13,1,2504.11
236,6942,82,9,13,1,2504.11
237,3547,82,10,16,1,6374.32
237,17869,81,4,8,1,3953.99
237,17892,80,4,8,1,3953.99
238,3479,81,10,16,1,6391.83
238,17801,84,4,8,1,3953.99
238,17844,83,1,14,1,3953.99
238,4287,47,4,8,1,772.5
238,6934,81,9,13,1,2507.92
239,1914,82,7,17,1,593.42
239,3281,84,8,15,1,1990.33
239,17873,81,1,14,1,3953.99
239,17896,81,1,14,1,3953.99
239,11814,81,6,9,1,2728.39
239,9851,56,10,16,1,1242.57
239,6981,84,9,13,1,2495.42
239,6988,82,9,13,1,2495.42
239,15259,55,9,13,1,487.54
239,15261,51,9,13,1,487.54
240,9041,51,8,15,1,390.19
240,3522,81,10,16,1,6303.19
241,4291,52,4,8,1,772.5
242,3496,83,10,16,1,6299.17
242,3548,83,10,16,1,6299.17
242,1958,80,7,17,1,594.44
242,17849,80,4,8,1,3953.99
242,17854,83,4,8,1,3953.99
242,6958,80,9,13,1,2484.44
242,6979,82,9,13,1,2484.44
242,6990,80,9,13,1,2484.44
242,6995,84,9,13,1,2484.44
242,7028,82,9,13,1,2484.44
243,19588,323,2,2,2,64.24
243,19267,48,4,8,1,472.31
243,19436,325,6,9,4,31178.95
243,19696,269,6,9,2,33830.37
243,19282,478,1,14,23,98932.2
243,19600,478,1,14,12,65037.7
243,19754,83,4,8,1,6236.36
243,19676,478,3,4,3,18344.64
243,19316,325,6,9,1,33863.81
243,19268,478,3,4,3,4596.22
243,19384,65,4,8,2,4331.59
243,19449,163,1,14,4,5093.93
243,19675,108,3,4,1,3865.06
243,19546,325,2,2,2,27005.12
243,19769,478,6,9,18,47968.8
243,19298,322,6,9,2,7321.31
243,19529,325,3,4,1,36463.55
243,19513,477,5,6,3,11519.88
243,19526,325,6,9,4,21378.94
243,19591,325,4,8,1,35609.31
243,19463,322,6,9,2,6028.79
243,19191,325,4,8,4,33197.18
243,19551,82,5,6,1,2417.48
243,19798,477,2,2,1,6.35
243,19660,165,5,6,1,42234.89
243,19527,478,5,6,12,21262.66
243,19363,325,5,6,2,20995.42
243,19461,322,2,2,4,8733.98
243,19199,478,1,14,6,13928.5
243,19614,268,5,6,1,31091.81
243,19786,178,5,6,1,207.76
243,19312,194,2,2,1,8279.33
243,19308,56,1,14,1,2361.55
243,19420,180,2,2,1,29323.39
243,19348,199,4,8,2,47410.67
243,19272,322,4,8,1,2923.71
243,19235,108,3,4,2,4262.35
243,19694,325,4,8,1,38199.9
243,19193,478,5,6,11,23749.89
243,19251,325,5,6,1,38567
243,4131,83,10,16,1,6275.18
243,17924,80,1,14,1,3953.99
243,7677,53,7,17,1,115.36
243,774,38,9,13,1,2354.3
244,1969,80,7,17,1,591.49
244,797,37,9,13,1,2343.6
244,7430,81,9,13,1,2484.75
245,18300,83,4,8,1,3953.99
245,7623,84,9,13,1,2495.57
245,7606,80,9,13,1,2495.57
245,17901,81,4,8,1,3953.99
246,17959,80,1,14,1,3953.99
246,7212,84,9,13,1,2498.26
247,1045,39,10,16,1,6017.92
247,17975,80,4,8,1,3953.99
247,9867,57,10,16,1,1237.39
247,15597,39,1,14,1,3756.99
247,799,37,9,13,1,2345.07
247,7890,83,9,13,1,2486.32
247,7891,80,9,13,1,2486.32
247,7056,83,9,13,1,2486.32
248,15607,34,4,8,1,3729.36
248,4312,55,1,14,1,772.5
248,7622,83,9,13,1,2486.32
249,4129,84,10,16,1,6335.5
249,17902,82,4,8,1,3953.99
249,4304,51,4,8,1,772.5
249,7613,81,9,13,1,2483.19
250,3861,82,10,16,1,6325.37
250,17945,80,4,8,1,3953.99
250,17946,81,4,8,1,3953.99
250,17973,83,4,8,1,3953.99
250,17999,80,1,14,1,3953.99
250,4293,52,4,8,1,772.5
250,4305,51,4,8,1,772.5
250,795,41,9,13,1,2351.35
250,801,39,9,13,1,2351.35
250,7213,84,9,13,1,2474.65
250,7434,84,9,13,1,2474.65
251,4227,80,10,16,1,6376.37
251,3860,80,10,16,1,6376.37
251,3388,84,8,15,1,2027.79
251,17961,84,4,8,1,3953.99
251,17987,81,1,14,1,3953.99
251,794,34,9,13,1,2326.2
251,7614,82,9,13,1,2466.31
251,7204,82,9,13,1,2466.31
251,15264,53,9,13,1,481.85
252,3852,83,10,16,1,6339.57
252,17952,84,4,8,1,3953.99
252,7895,82,9,13,1,2450.41
252,7216,80,9,13,1,2450.41
252,7438,84,9,13,1,2450.41
253,3469,84,8,15,1,2007.1
253,3859,84,10,16,1,6326.38
253,3885,84,10,16,1,6326.38
253,19101,35,8,15,1,1893.08
253,17936,84,4,8,1,3953.99
253,15605,35,1,14,1,3729.36
253,782,37,9,13,1,2290.9
253,7617,84,9,13,1,2428.89
254,3893,82,10,16,1,6305.2
254,1043,41,10,16,1,5991.05
254,17970,84,4,8,1,3953.99
254,17998,80,4,8,1,3953.99
254,18000,83,4,8,1,3953.99
254,18289,81,4,8,1,3953.99
254,798,37,9,13,1,2292.88
254,7626,84,9,13,1,2430.98
254,7627,82,9,13,1,2430.98
254,7055,83,9,13,1,2430.98
254,7432,82,9,13,1,2430.98
254,7612,83,9,13,1,2430.98
255,19100,39,8,15,1,1871.76
255,17948,82,1,14,1,3953.99
255,18041,83,1,14,1,3953.99
255,15603,39,4,8,1,3756.99
255,4298,54,4,8,1,772.5
255,7435,81,9,13,1,2444.51
256,17942,80,1,14,1,3953.99
256,18290,81,4,8,1,3953.99
256,7217,81,9,13,1,2444.51
257,3368,83,8,15,1,1964.71
257,9546,36,6,9,1,2568.79
258,17923,83,4,8,1,3953.99
258,17926,84,4,8,1,3953.99
258,18001,82,4,8,1,3953.99
258,779,37,9,13,1,2306.35
258,805,37,9,13,1,2306.35
258,15265,55,9,13,1,477.74
259,17925,84,4,8,1,3953.99
259,18286,81,4,8,1,3953.99
259,802,35,9,13,1,2255.16
260,3308,84,8,15,1,1949.7
260,18042,80,4,8,1,3953.99
260,18057,81,4,8,1,3953.99
260,771,39,9,13,1,2277.52
260,7619,80,9,13,1,2396.94
260,7621,80,9,13,1,2396.94
260,7054,84,9,13,1,2396.94
260,7214,80,9,13,1,2396.94
261,3309,82,8,15,1,1939.37
261,9055,52,8,15,1,378.9
261,18288,82,4,8,1,3953.99
261,7618,81,9,13,1,2404.22
261,7206,80,9,13,1,2404.22
262,3472,83,8,15,1,1941.56
262,3848,83,10,16,1,6234.61
262,18064,82,4,8,1,3953.99
262,18285,83,1,14,1,3953.99
262,7629,82,9,13,1,2398.54
262,7427,81,9,13,1,2398.54
263,3867,83,10,16,1,6236.57
263,17972,81,1,14,1,3953.99
263,18282,84,4,8,1,3953.99
264,18275,81,1,14,1,3953.99
264,16332,56,6,9,1,531.59
